year,university,color
2024,Northwestern University,#4E2A84
2023,Rutgers University,#CC0033
2022,University of Texas at Austin,#BF5700
2021,University of Kansas,#0051BA
2020,University of South Florida,#006747
2019,University of Illinois at Urbana-Champaign,#FF5F05
2018,Rutgers University,#CC0033
2017,Ohio University,#00694E
2016,Northwestern University,#4E2A84
2015,Michigan State University,#18453B
2014,Purdue University,#cfb991
2013,University of Illinois at Urbana-Champaign,#FF5F05
2012,University of Oklahoma,#841617
2011,University of Missouri,#F1B82D
2010,Rutgers University,#CC0033
2009,Northwestern University,#4E2A84
2008,Purdue University,#cfb991
2007,University of Illinois at Urbana-Champaign, #FF5F05
2006,Michigan State University,#18453B
2005,Ohio University,#00694E
2004,Saint Louis University,#003DA5
2003,Western Michigan University,#F1C500
2002,Purdue University,#cfb991
2001,University of Illinois at Urbana-Champaign,#FF5F05
2000,Michigan State University,#18453B
1999,Western Michigan University,#F1C500
1998,University of Kansas,#0051BA
1997,Purdue University,#cfb991
1996,University of Illinois at Urbana-Champaign, #FF5F05
1995,Michigan State University,#18453B
1994,University of Kansas,#0051BA
1993,Western Michigan University,#18453B
1992,University of Illinois at Urbana-Champaign,#FF5F05
1991,University of Minnesota,#7A0019
1990,Purdue University,#cfb991
1989,Michigan State University,#18453B
1988,University of Illinois at Urbana-Champaign,#FF5F05
